60 80
0 0 0
0 1 1
0 2 1
0 3 1
0 4 2
0 5 0
0 6 1
0 7 1
0 8 0
0 9 2
0 10 1
0 11 1
0 12 0
0 13 1
0 14 1
0 15 1
0 16 1
0 17 2
0 18 2
0 19 1
0 20 1
0 21 2
0 22 0
0 23 1
0 24 1
0 25 2
0 26 0
0 27 1
0 28 1
0 29 0
0 30 2
0 31 1
0 32 2
0 33 2
0 34 1
0 35 1
0 36 0
0 37 1
0 38 2
0 39 0
0 40 1
0 41 2
0 42 1
0 43 2
0 44 1
0 45 1
0 46 0
0 47 2
0 48 1
0 49 1
0 50 2
0 51 0
0 52 1
0 53 1
0 54 2
0 55 0
0 56 1
0 57 2
0 58 1
0 59 2
0 60 2
0 61 2
0 62 2
0 63 2
0 64 1
0 65 2
0 66 0
0 67 2
0 68 1
0 69 0
0 70 2
0 71 2
0 72 2
0 73 2
0 74 0
0 75 1
0 76 1
0 77 0
0 78 2
0 79 1
1 0 2
1 1 1
1 2 0
1 3 0
1 4 2
1 5 0
1 6 2
1 7 2
1 8 2
1 9 2
1 10 2
1 11 2
1 12 2
1 13 0
1 14 2
1 15 1
1 16 0
1 17 0
1 18 2
1 19 1
1 20 2
1 21 0
1 22 2
1 23 1
1 24 2
1 25 2
1 26 1
1 27 1
1 28 0
1 29 1
1 30 1
1 31 2
1 32 0
1 33 0
1 34 2
1 35 0
1 36 0
1 37 0
1 38 1
1 39 2
1 40 1
1 41 2
1 42 2
1 43 1
1 44 1
1 45 0
1 46 2
1 47 1
1 48 2
1 49 2
1 50 1
1 51 1
1 52 0
1 53 2
1 54 1
1 55 1
1 56 1
1 57 0
1 58 2
1 59 0
1 60 1
1 61 2
1 62 2
1 63 0
1 64 1
1 65 2
1 66 2
1 67 2
1 68 0
1 69 2
1 70 2
1 71 2
1 72 2
1 73 0
1 74 0
1 75 0
1 76 0
1 77 0
1 78 0
1 79 0
2 0 0
2 1 0
2 2 1
2 3 0
2 4 1
2 5 2
2 6 1
2 7 0
2 8 1
2 9 0
2 10 1
2 11 2
2 12 0
2 13 1
2 14 1
2 15 1
2 16 0
2 17 0
2 18 2
2 19 0
2 20 2
2 21 1
2 22 2
2 23 0
2 24 1
2 25 1
