200 200
0 0 0
0 1 1
0 2 1
0 3 2
0 4 1
0 5 2
0 6 0
0 7 0
0 8 1
0 9 2
0 10 1
0 11 0
0 12 2
0 13 2
0 14 1
0 15 0
0 16 0
0 17 2
0 18 0
0 19 2
0 20 1
0 21 0
0 22 0
0 23 2
0 24 1
0 25 2
0 26 1
0 27 0
0 28 1
0 29 0
0 30 2
0 31 0
0 32 2
0 33 2
0 34 0
0 35 2
0 36 0
0 37 0
0 38 0
0 39 0
0 40 1
0 41 1
0 42 1
0 43 2
0 44 2
0 45 1
0 46 1
0 47 0
0 48 1
0 49 2
0 50 2
0 51 0
0 52 1
0 53 0
0 54 0
0 55 0
0 56 2
0 57 0
0 58 0
0 59 0
0 60 1
0 61 2
0 62 2
0 63 1
0 64 1
0 65 2
0 66 2
0 67 1
0 68 0
0 69 1
0 70 1
0 71 2
0 72 1
0 73 0
0 74 0
0 75 2
0 76 2
0 77 1
0 78 1
0 79 1
0 80 0
0 81 0
0 82 1
0 83 0
0 84 0
0 85 1
0 86 0
0 87 1
0 88 2
0 89 0
0 90 1
0 91 1
0 92 0
0 93 2
0 94 0
0 95 1
0 96 2
0 97 1
0 98 2
0 99 0
0 100 0
0 101 2
0 102 0
0 103 0
0 104 0
0 105 2
0 106 2
0 107 1
0 108 2
0 109 1
0 110 2
0 111 1
0 112 2
0 113 0
0 114 1
0 115 2
0 116 0
0 117 1
0 118 1
0 119 2
0 120 0
0 121 0
0 122 0
0 123 1
0 124 0
0 125 1
0 126 0
0 127 2
0 128 1
0 129 0
0 130 2
0 131 1
0 132 2
0 133 1
0 134 0
0 135 1
0 136 1
0 137 1
0 138 0
0 139 0
0 140 1
0 141 2
0 142 2
0 143 1
0 144 2
0 145 0
0 146 0
0 147 0
0 148 1
0 149 2
0 150 2
0 151 2
0 152 1
0 153 1
0 154 0
0 155 2
0 156 0
0 157 0
0 158 2
0 159 1
0 160 2
0 161 0
0 162 1
0 163 0
0 164 1
0 165 2
0 166 0
0 167 1
0 168 0
0 169 2
0 170 1
0 171 0
0 172 0
0 173 2
0 174 2
0 175 0
0 176 1
0 177 1
0 178 0
0 179 0
0 180 0
0 181 1
0 182 1
0 183 1
0 184 0
0 185 2
